Review ID,Stars,Positive,Negative,Neutral,,,,,Review ID,Stars,Positive,Negative
TsVN230RCkLYKBeLsuz7A,4,6,0,49,,,,,TsVN230RCkLYKBeLsuz7A,4,6,0
0Lua2-PbqEQMjD9r89-asw,3,5,0,132,,,,,0Lua2-PbqEQMjD9r89-asw,3,5,0
15SdjuK7DmYqUAj6rjGowg,5,4,1,88,,,,,15SdjuK7DmYqUAj6rjGowg,5,4,1
3Es8GsjkssusYgeU6_ZVpQ,5,11,5,151,,,,,3Es8GsjkssusYgeU6_ZVpQ,5,11,5
6w6gMZ3iBLGcUM4RBIuifQ,5,12,1,167,,,,,6w6gMZ3iBLGcUM4RBIuifQ,5,12,1
7N9j5YbBHBW6qguE5DAeyA,2,9,0,51,,,,,Di3exaUCFNw1V4kSNW5pgA,5,12,0
CFiLh7WvH7dM3qVZvNiacQ,2,4,1,45,,,,,QzjRXUNSGk3PySEcg5y92g,5,6,0
Di3exaUCFNw1V4kSNW5pgA,5,12,0,61,,,,,RF6UnRTtG7tWMcrO2GEoAg,2,3,6
QzjRXUNSGk3PySEcg5y92g,5,6,0,46,,,,,S-G0D8Cy7PnqShoBZu8PCA,4,3,1
RF6UnRTtG7tWMcrO2GEoAg,2,3,6,105,,,,,UzMViMQZuSxOr5wrru3LwQ,4,3,0
S-G0D8Cy7PnqShoBZu8PCA,4,3,1,69,,,,,dNocEAyUucjT371NNND41Q,4,3,0
UzMViMQZuSxOr5wrru3LwQ,4,3,0,24,,,,,ebcN2aqmNUuYNoyvQErgnA,4,1,2
WExNE-f93SL4D1q8s9QWKg,1,3,1,104,,,,,fBQ69-NU9ZyTjjS7Tb5tww,5,4,2
XsA6AojkWjOHA4FmuAb8XQ,3,7,3,76,,,,,iS34GJhMkkt9kCoTJLYEwA,4,7,0
_ePLBPrkrf4bhyiKWEn4Qg,1,4,8,199,,,,,,,,
bOJD0Kc3wGioat3oSFqgPQ,1,5,1,186,,,,,Review ID,Positive,Negative,
dNocEAyUucjT371NNND41Q,4,3,0,94,,,,,TsVN230RCkLYKBeLsuz7A,6,0,
ebcN2aqmNUuYNoyvQErgnA,4,1,2,50,,,,,0Lua2-PbqEQMjD9r89-asw,5,0,
fBQ69-NU9ZyTjjS7Tb5tww,5,4,2,115,,,,,15SdjuK7DmYqUAj6rjGowg,4,1,
iS34GJhMkkt9kCoTJLYEwA,4,7,0,178,,,,,3Es8GsjkssusYgeU6_ZVpQ,11,5,
jVVv_DA5mCDB6mediuwHAw,5,1,1,8,,,,,6w6gMZ3iBLGcUM4RBIuifQ,12,1,
kMu0knsSUFW2DZXqKkGWlg,5,5,0,57,,,,,Di3exaUCFNw1V4kSNW5pgA,12,0,
mjCJR33jvUNt41iJCxDU_g,4,3,1,59,,,,,QzjRXUNSGk3PySEcg5y92g,6,0,
onDPFgNZpMk-bT1zlForRA,5,4,1,62,,,,,RF6UnRTtG7tWMcrO2GEoAg,3,6,
rkD7UDbQ9VM3Va6bI-eBHQ,1,6,2,210,,,,,S-G0D8Cy7PnqShoBZu8PCA,3,1,
,,,,,,,,,UzMViMQZuSxOr5wrru3LwQ,3,0,
,,,,,,,,,dNocEAyUucjT371NNND41Q,3,0,
,,,,,,,,,ebcN2aqmNUuYNoyvQErgnA,1,2,
,,,,,,,,,fBQ69-NU9ZyTjjS7Tb5tww,4,2,
,,,,,,,,,iS34GJhMkkt9kCoTJLYEwA,7,0,
